last_party,total
SDA,277
ZaBiH,163
SBB,150
BOSS,136
SDP,129
BPS,107
DF,81
SDU,67
NS,61
GDS,57
NSRZB,48
PENZIONERI,40
NP,39
BNS,37
USD,35
LDS,33
GS,31
E5,21
SB,20
SzS,20
NB,18
NezBosLis,18
SDU – SSP,17
BPNS,16
NDS,16
SDBIH,15
PM – SM,14
VDS,14
NA,13
PS,13
NiP,12
SDU – LDS,11
A-SDA,10
SES,10
HSP,9
NK,9
BOSS – SDU,8
DSI,8
SarPri,8
DNZ,7
GDS – NEP,7
NezLista,7
NSP,7
PZP,7
DF – GS,6
PPM,5
SzP,5
HDZ 1990-KOAL,4
PPP,4
SKOK,4
SzSG,4
HDZ,3
HKKS,3
LDS – E5,3
SDA – SBB,3
SUNDBIH,3
SZBG,3
ZELENI,3
GorPri,2
HSS – NHI,2
NBP,2
NBS,2
NekaLista,2
RSBIH,2
SZNBIH,2
TIM,2
DBIH,1
DSBIH,1
E5 – ZELENI,1
HDZ-KOAL,1
HSP – NHI,1
KP,1
LS,1
NB – PS,1
SDF,1
SDF BIH,1
SNSD,1
SPR,1
